Creature name,Avatar,TileX,TileZ,Biome,Food per Turn,Max Hunger,Water per Turn,Max Thirst,Reproduction Interval,Age,Lifespan,Courage,Intimidation,Perception,Reproduction,Size,Speed,Stealth,Territory,algae,fruit,grass,leaves,meat,nectar,pollen,sap,seeds,wood
Chugleadite,Red_River_Hog,35,19,Tropical Rainforest,10.89929,1301.611,21.79857,1301.611,154.8339,1917,1709.027,223.7985,13.28677,45.63129,90.59766,216.9351,27.63316,7.821651,91.96225,1.490116E-08,0.1,0.7,-0.09999999,0.1,0.2,1.490116E-08,0,-0.09999999,1.490116E-08
Mukudile,American_Badger,59,29,Tropical Rainforest,4.543188,611.4607,9.086376,611.4607,163.4322,1440,1122.224,234.6074,53.79465,87.23653,145.6324,101.9101,22.11264,9.623744,34.60191,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Spykoodite,American_Badger,35,29,Tropical Savanna,7.0287,756.9768,14.0574,756.9768,211.8883,1336,1635.005,222.1407,19.24169,51.27073,129.5949,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
Thistoucite,American_Badger,60,29,Tropical Rainforest,4.572785,616.7777,9.145571,616.7777,221.8267,1242,1510.065,234.6074,62.40179,87.23653,146.8988,102.7963,22.11264,9.623744,30.08862,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Clerkydile,American_Badger,45,30,Tropical Savanna,7.0287,756.9768,14.0574,756.9768,118.0042,1188,1220.153,165.7766,19.24169,51.27073,96.71259,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
Pyrbesaur,American_Badger,58,30,Tropical Rainforest,4.837633,531.705,9.675266,531.705,278.5453,1187,1571.114,234.6074,53.79465,122.1311,177.2916,88.61749,22.11264,9.623744,30.08862,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Blerfimite,American_Badger,58,32,Tropical Savanna,5.863815,531.705,11.72763,531.705,142.115,1110,1122.224,262.7603,53.79465,87.23653,126.6369,88.61749,30.51545,10.77859,24.49815,-0.09999999,0.3,-0.09999999,0.1,0.4,0,0.2,0.2,1.490116E-08,-0.09999999
Clerkydile,American_Badger,39,30,Tropical Savanna,7.0287,756.9768,14.0574,756.9768,118.0042,1065,1220.153,165.7766,19.24169,51.27073,96.71259,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
Gleebytite,American_Badger,61,31,Tropical Rainforest,4.091074,531.705,8.182148,531.705,142.115,1054,1122.224,234.6074,53.79465,87.23653,126.6369,88.61749,22.11264,9.623744,30.08862,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Weakudite,American_Badger,63,30,Tropical Rainforest,4.605829,531.705,9.211658,531.705,142.115,1025,1122.224,234.6074,48.41518,87.23653,126.6369,88.61749,21.44927,7.033032,29.18596,-0.09999999,0.6,1.490116E-08,1.490116E-08,0.3,0,1.490116E-08,0.2,-0.09999999,1.490116E-08
Chykatite,American_Badger,60,29,Tropical Rainforest,5.178299,531.705,10.3566,531.705,142.115,1018,1122.224,328.4504,75.31251,69.78922,126.6369,88.61749,30.9577,9.623744,30.08862,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Wafymite,American_Badger,61,31,Tropical Rainforest,2.10937,531.705,4.21874,531.705,142.115,997,1122.224,234.6074,53.79465,51.46955,126.6369,88.61749,13.04646,9.623744,30.08862,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Saerfaemug,American_Badger,60,30,Tropical Rainforest,4.856297,531.705,9.712594,531.705,142.115,966,1122.224,234.6074,75.85045,123.0035,126.6369,88.61749,22.11264,13.56948,30.08862,1.490116E-08,0.4,-0.09999999,0.1,0.5,0,1.490116E-08,0,0.1,-0.09999999
Turkotite,American_Badger,41,26,Tropical Savanna,6.566809,756.9768,13.13362,756.9768,118.0042,965,1220.153,165.7766,13.85402,36.91493,96.71259,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
Thoortoodact,American_Badger,33,25,Tropical Savanna,8.334613,686.7782,16.66923,686.7782,106.1641,952,869.1732,112.1327,11.61633,62.50861,122.1438,114.463,33.59431,4.080152,76.97581,0.2,0.3,0.4,1.490116E-08,0.2,0,-0.09999999,0.1,-0.09999999,-0.09999999
Spykoodite,American_Badger,44,31,Tropical Savanna,7.0287,756.9768,14.0574,756.9768,211.8883,942,1635.005,222.1407,19.24169,51.27073,129.5949,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
Clerkydile,American_Badger,48,31,Tropical Savanna,7.0287,756.9768,14.0574,756.9768,118.0042,939,1220.153,165.7766,19.24169,51.27073,96.71259,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
Clerkydile,American_Badger,42,29,Tropical Savanna,7.0287,756.9768,14.0574,756.9768,118.0042,927,1220.153,165.7766,19.24169,51.27073,96.71259,126.1628,30.34804,4.080152,46.22264,-0.09999999,0.2,0.3,1.490116E-08,0.3,0,-0.09999999,0.2,0.1,1.490116E-08
