Creature name,Avatar,TileX,TileZ,Biome,Food per Turn,Max Hunger,Water per Turn,Max Thirst,Reproduction Interval,Age,Lifespan,Courage,Intimidation,Perception,Reproduction,Size,Speed,Stealth,Territory,algae,fruit,grass,leaves,meat,nectar,pollen,sap,seeds,wood
Fluzadact,Pygmy_Hog,66,33,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,73,30,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,68,33,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,67,28,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,74,34,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,64,24,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,72,21,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,74,35,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,63,21,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
Fluzadact,Pygmy_Hog,72,35,Tropical Rainforest,0.2232273,65.39999,0.4464546,65.39999,100,1,1000,100,100,100,100,100,100,100,100,0,0,0,0.5,0.4,0,0,0,0,0
